added_at,album_name,track_number,artists,name,popularity,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist_name,playlist_description
2022-06-10T03:01:00Z,Fica Até Umas Hora,1,"[['Black Alien', '6aCbXH85qN6xo54C7atSMx']]",Fica Até Umas Hora,45,7xga0gWCTSUpU7Uz5pldQS,0.788,0.591,11,-7.744,0,0.358,0.622,5.35e-05,0.362,0.712,74.884,audio_features,7xga0gWCTSUpU7Uz5pldQS,spotify:track:7xga0gWCTSUpU7Uz5pldQS,https://api.spotify.com/v1/tracks/7xga0gWCTSUpU7Uz5pldQS,https://api.spotify.com/v1/audio-analysis/7xga0gWCTSUpU7Uz5pldQS,228800,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,The Cypher Deffect 3,1,"[['Costa Gold', '7q1aEytv83jXNECmyaMhgn'], ['Tz da Coronel', '3lIU3RoZiHen1QXAQ3KQ9e'], ['Major RD', '76hYPcWML9NGEh8LashwT5'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq']]",The Cypher Deffect 3,62,24THjBgQ5pBt7aipk78ti3,0.574,0.66,1,-6.694,1,0.389,0.299,0.0,0.114,0.667,82.33,audio_features,24THjBgQ5pBt7aipk78ti3,spotify:track:24THjBgQ5pBt7aipk78ti3,https://api.spotify.com/v1/tracks/24THjBgQ5pBt7aipk78ti3,https://api.spotify.com/v1/audio-analysis/24THjBgQ5pBt7aipk78ti3,276882,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Deus É o Meu Guia,1,"[['Chefin', '68PYmgkbRP1qZnEWOry7sB'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd']]",Deus É o Meu Guia,72,4BfppnNi6ZQTI8Ezo97zX6,0.881,0.373,1,-8.908,0,0.0582,0.215,0.0,0.077,0.909,114.974,audio_features,4BfppnNi6ZQTI8Ezo97zX6,spotify:track:4BfppnNi6ZQTI8Ezo97zX6,https://api.spotify.com/v1/tracks/4BfppnNi6ZQTI8Ezo97zX6,https://api.spotify.com/v1/audio-analysis/4BfppnNi6ZQTI8Ezo97zX6,166957,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Coisas Que Eu Só Falaria Brincando,7,"[['Sid', '05BrFNfdik79RdmOG1Ux1Q'], ['NOG', '1QAoT8rjnSPy5pXpu3yiHS'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq'], ['Chiocki', '0UFcxMt1Cv90Y1qKpVDT5Z']]",Sitio do Tio Harry,65,0a3Bfmq7czUFUsk2VZUA28,0.682,0.694,1,-6.353,1,0.43,0.448,0.0,0.298,0.732,84.306,audio_features,0a3Bfmq7czUFUsk2VZUA28,spotify:track:0a3Bfmq7czUFUsk2VZUA28,https://api.spotify.com/v1/tracks/0a3Bfmq7czUFUsk2VZUA28,https://api.spotify.com/v1/audio-analysis/0a3Bfmq7czUFUsk2VZUA28,291882,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Sigo na Fé do Pai,1,"[['Salvador Da Rima', '3zUcyANWSbo98ikca4ugrV'], ['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY'], ['Bielzin', '2vWGxqWbGgmgxVDZ5CBvBP'], ['Neo Beats', '6PERJZF7wohA034PAxDK0b']]",Sigo na Fé do Pai,66,7zcQ56JRoNd4JAwGKcrxiZ,0.499,0.762,6,-4.163,0,0.453,0.141,0.0,0.0988,0.622,173.262,audio_features,7zcQ56JRoNd4JAwGKcrxiZ,spotify:track:7zcQ56JRoNd4JAwGKcrxiZ,https://api.spotify.com/v1/tracks/7zcQ56JRoNd4JAwGKcrxiZ,https://api.spotify.com/v1/audio-analysis/7zcQ56JRoNd4JAwGKcrxiZ,264828,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Insônia 2,1,"[['Tribo da Periferia', '1xxS2WrLlgl9QNGEUCsbPG'], ['Hungria Hip Hop', '0vLuOi2k62sHujIfplInlK'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY']]",Insônia 2,69,7tITqCiDuMqKfWhibaF8V7,0.76,0.351,0,-11.63,1,0.061,0.29,0.0,0.156,0.294,139.951,audio_features,7tITqCiDuMqKfWhibaF8V7,spotify:track:7tITqCiDuMqKfWhibaF8V7,https://api.spotify.com/v1/tracks/7tITqCiDuMqKfWhibaF8V7,https://api.spotify.com/v1/audio-analysis/7tITqCiDuMqKfWhibaF8V7,267429,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,QVVJFA?,4,"[['Baco Exu do Blues', '78nr1pVnDR7qZH6QbVMYZf']]",20 Ligações,70,6MvaRZ6JZgJuXz9b1CMB1y,0.688,0.389,0,-10.62,1,0.174,0.779,7.26e-06,0.108,0.536,75.073,audio_features,6MvaRZ6JZgJuXz9b1CMB1y,spotify:track:6MvaRZ6JZgJuXz9b1CMB1y,https://api.spotify.com/v1/tracks/6MvaRZ6JZgJuXz9b1CMB1y,https://api.spotify.com/v1/audio-analysis/6MvaRZ6JZgJuXz9b1CMB1y,193600,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Facilitei,1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Facilitei,55,6pIsaJ0bFpoajxz45FvopF,0.746,0.563,6,-10.849,0,0.269,0.575,1.03e-06,0.125,0.639,120.0,audio_features,6pIsaJ0bFpoajxz45FvopF,spotify:track:6pIsaJ0bFpoajxz45FvopF,https://api.spotify.com/v1/tracks/6pIsaJ0bFpoajxz45FvopF,https://api.spotify.com/v1/audio-analysis/6pIsaJ0bFpoajxz45FvopF,212000,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Tecnologia,1,"[['Pedro Simples', '4onypgNFPIHhPqEO7BYYIE'], ['Jamés Ventura', '40CHfCMucIRnSYydfshohB'], ['Malokero Anônimo', '61h45TTf8pScBErVEDm3mz'], ['DJ B8', '3PH6x2yZ6Gb0iPIYj6XQAB']]",Tecnologia,43,4EopE6f7MU601tBbDccmcq,0.662,0.725,2,-6.526,1,0.283,0.043,0.0,0.778,0.532,81.887,audio_features,4EopE6f7MU601tBbDccmcq,spotify:track:4EopE6f7MU601tBbDccmcq,https://api.spotify.com/v1/tracks/4EopE6f7MU601tBbDccmcq,https://api.spotify.com/v1/audio-analysis/4EopE6f7MU601tBbDccmcq,187500,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Bom dia Vietnã 2,1,"[['Puro Suco', '3UD5S1SrDQo3KPTfWxL7Ms'], ['BEATDOMK', '3skj2KZCvizGrCwYD03ApC']]",Bom dia Vietnã 2,46,7f0PIXLhMDaLx0OtFXdW7d,0.648,0.514,11,-8.525,1,0.343,0.68,0.0,0.362,0.857,107.772,audio_features,7f0PIXLhMDaLx0OtFXdW7d,spotify:track:7f0PIXLhMDaLx0OtFXdW7d,https://api.spotify.com/v1/tracks/7f0PIXLhMDaLx0OtFXdW7d,https://api.spotify.com/v1/audio-analysis/7f0PIXLhMDaLx0OtFXdW7d,165488,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Me Sinto Abençoado,1,"[['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['Filipe Ret', '7gJN8W0589FisSYJS17K54'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Me Sinto Abençoado,77,7HjZD0NPC1hzFpjUjo45GR,0.729,0.596,0,-5.101,1,0.0607,0.463,0.0,0.18,0.319,117.918,audio_features,7HjZD0NPC1hzFpjUjo45GR,spotify:track:7HjZD0NPC1hzFpjUjo45GR,https://api.spotify.com/v1/tracks/7HjZD0NPC1hzFpjUjo45GR,https://api.spotify.com/v1/audio-analysis/7HjZD0NPC1hzFpjUjo45GR,214236,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Universo Particular,3,"[['Hungria Hip Hop', '0vLuOi2k62sHujIfplInlK'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY']]",Cruzeiro da Revoada,70,2TkyXnE0OB6Yo9zuzv9B4e,0.869,0.5,6,-7.188,0,0.143,0.521,0.0,0.132,0.818,123.126,audio_features,2TkyXnE0OB6Yo9zuzv9B4e,spotify:track:2TkyXnE0OB6Yo9zuzv9B4e,https://api.spotify.com/v1/tracks/2TkyXnE0OB6Yo9zuzv9B4e,https://api.spotify.com/v1/audio-analysis/2TkyXnE0OB6Yo9zuzv9B4e,222603,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Nômade VII,1,"[['Zarastruta', '02RPe8lsQquxA4NtZJ2chM'], ['Jean Tassy', '6XQrv3AiNUS61JFK1VITTU'], ['Patricio Sid', '2A6L9Ua0JdmmELX1hz2HVu'], ['Don', '3hAwxMO9sRsHbjS8w5uWAA']]",Nômade VII,47,4XTu1iHT5Q8dDfiIXgUXLD,0.813,0.424,1,-11.035,0,0.375,0.816,0.0,0.081,0.546,92.972,audio_features,4XTu1iHT5Q8dDfiIXgUXLD,spotify:track:4XTu1iHT5Q8dDfiIXgUXLD,https://api.spotify.com/v1/tracks/4XTu1iHT5Q8dDfiIXgUXLD,https://api.spotify.com/v1/audio-analysis/4XTu1iHT5Q8dDfiIXgUXLD,206452,4,AULAS,black alien é AULAS
2022-06-10T03:01:00Z,Mensagem 2,1,"[['Mc Kevin', '5pBMkZNIlbGTH3hrsQJqAa'], ['DJ Negret', '2QjuiqjrRDISMbPYSNKRna']]",Mensagem 2,58,3iZEhKaTMWl2W9IPh8mITL,0.672,0.767,5,-7.073,0,0.0705,0.36,0.0,0.091,0.725,94.897,audio_features,3iZEhKaTMWl2W9IPh8mITL,spotify:track:3iZEhKaTMWl2W9IPh8mITL,https://api.spotify.com/v1/tracks/3iZEhKaTMWl2W9IPh8mITL,https://api.spotify.com/v1/audio-analysis/3iZEhKaTMWl2W9IPh8mITL,151579,4,AULAS,black alien é AULAS
